product,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,fy
Total Single-Piece Letters and Cards,11580.763226000001,7184.64387727529,7159.47446827529,25.169409,0.44805465384865534,0.2779707228821674,0.17008393096648794,1.6118771401640992,2011
Presort Letters,14891.08021,4963.358877957883,4957.935035957883,5.423842,0.35675174596377274,0.1189092342922963,0.23784251167147644,3.0002021969700414,2011
Presort Cards,597.3427310000001,220.23133893981597,219.87351193981598,0.35782700000000006,0.21691875346214953,0.07997470302543119,0.13694405043671834,2.712342093889007,2011
Total Presort Letters and Cards,15488.422941,5183.590216897699,5177.808547897699,5.781669,0.34809748822343656,0.11649957786891169,0.23159791035452487,2.9879720990502197,2011
Flats,2814.198117,1946.3992057391745,1944.7785187391744,1.620687,1.2614519116100424,0.8724648716108674,0.38898703999917505,1.4458483689789967,2011
Parcels,1284.462449,1168.973306646959,1168.367562646959,0.6057440000000001,2.013320178713574,1.8322976654414072,0.18102251327216679,1.0987953631587244,2011
Outbound First-Class Mail International,647.6636619999999,438.4756057001326,437.9030283349394,0.5725773651931801,2.08698108761506,1.4129097402977888,0.674071347317271,1.4770802607498494,2011
Inbound International Single-Piece Letter Post,136.3168211481679,172.46269303442173,172.02343216126965,0.4392608731520858,0.572571975354428,0.724395595451357,-0.15182362009692896,0.7904133859313011,2011
Fees (note 2),146.106213,0,0,0,None,None,None,None,2011
Total First-Class,32097.933429148165,16094.544905293676,16060.355558055333,34.18934723834527,0.4351756005925941,0.21820573778950375,0.21696986280309033,1.9943361939106954,2011
Standard Mail:,None,None,None,None,None,None,None,None,2011
High Density and Saturation Letters,767.934734,349.009793787232,347.855275787232,1.1545179999999997,0.1358244993146955,0.06172930901322652,0.074095190301469,2.200324310864923,2011
High Density and Saturation Flats and Parcels,1880.643586,882.7608880392567,880.4279990392567,2.332889,0.1646139760342836,0.07726864396287426,0.08734533207140933,2.13041109034315,2011
Carrier Route,2222.005488,1647.8273651771758,1645.9144741771756,1.912891,0.23800584141028244,0.17650385683830608,0.061501984571976365,1.3484455562255384,2011
Letters,9707.631806,5288.553756090455,5278.196845090454,10.356911,0.1919103964847648,0.10454954086072919,0.0873608556240356,1.8355929151368469,2011
Flats,2491.0770789999997,3142.8615788093225,3141.4747238093223,1.386855,0.36724290694024003,0.46333115584526957,-0.09608824890502954,0.7926143155002544,2011
Not Flat-Machinables and Parcels,650.6732219999999,767.2977825218721,767.212146521872,0.08563599999999999,0.8867534599761785,1.0456922775950959,-0.15893881761891737,0.8480061285482111,2011
Standard Mail NSAs,38.143820999999996,23.281,23.281,0,0.21704446630035115,0.1324726282649679,0.08457183803538326,1.638409905072806,2011
Fees (note 2),68.079944,0,0,0,None,None,None,None,2011
Total Standard Mail,17826.150378000006,12078.311164425315,12061.081464425313,17.2297,0.2104839455348975,0.14261579395313467,0.06786815158176282,1.4758810346353723,2011
Periodicals:,None,None,None,None,None,None,None,None,2011
In County,69.180835,89.24972840319411,89.2121104031941,0.037618,0.10457209878182655,0.13490775898888768,-0.030335660207061133,0.7751377649853344,2011
Outside County (note 2),1743.551087,2340.773780297896,2340.409001297896,0.364779,0.27178528694073045,0.3648805465380677,-0.09309525959733722,0.7448609949732558,2011
Fees (note 2),8.403379000000001,0,0,0,None,None,None,None,2011
Total Periodicals,1821.135301,2430.02350870109,2429.62111170109,0.402397,0.2573410127290392,0.34338179614723296,-0.08604078341819377,0.7494311452046172,2011
Package Services:,None,None,None,None,None,None,None,None,2011
Single-Piece Parcel Post,732.461932,821.118831183313,821.118831183313,0,10.431284199834773,11.693882665712772,-1.2625984658779998,0.892029148746291,2011
Inbound Surface Parcel Post (at UPU Rates),18.963418007012855,10.725437087238118,10.725437087238118,0,18.640673387973486,10.542897362307135,8.09777602566635,1.768078806744097,2011
Bound Printed Matter Flats,204.173748,125.41693227392324,125.41693227392324,0,0.8107557971648457,0.4980194853635841,0.3127363118012616,1.6279599915110659,2011
Bound Printed Matter Parcels,309.680652,314.5616440758949,314.5616440758949,0,1.2625515411690575,1.2824510861617977,-0.01989954499274016,0.984483193778332,2011
Media and Library Mail (note 2),331.951003,431.0676513591044,431.0676513591044,0,3.0785019045060404,3.997706208708002,-0.9192043042019615,0.7700670694110274,2011
Fees (note 2),3.039435,0,0,0,None,None,None,None,2011
Total Package Services,1600.2701880070128,1702.8904959794736,1702.8904959794736,0,2.366644486631127,2.5184099746715427,-0.15176548804041579,0.9397375766587768,2011
International Negotiated Service Agreements,80.7722128518321,77.3348769218077,77.08988199015297,0.24499493165473382,0.6047847017060387,0.5790475315616888,0.025737170144349952,1.04444742226072,2011
"Free Mail - blind, handicapped & servicemen",0,51.11051331092173,51.11051331092173,0,0,0.826309396408336,-0.826309396408336,None,2011
Total Market Dominant Mail,53426.26150900702,32434.215464632285,32382.149025462288,52.06643917,0.32023843398180557,0.1944115510697157,0.12582688291208988,1.6472191709790358,2011
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,Revenue,Cost $,$,Coverage,2011
(note 1),(note 1),(note 2),(note 2),(note 2),$,(note 2),(note 2),(note 2),2011
MARKET DOMINANT SERVICES,A,B,C,C,D,E,(D-E),(D/E),2011
Ancillary Services,None,None,None,None,None,None,None,None,2011
Certified Mail,708.755088,599.3275691096338,599.3166821096338,0.010887,2.8212277981216087,2.3856472098479644,0.4355805882736443,1.1825838231552281,2011
COD,6.677514,4.373217090959587,4.373181090959587,3.5999999999999994e-05,8.149272638515988,5.337096767097373,2.8121758714186154,1.52691116427856,2011
Insurance,116.65199000000001,103.41136535454596,103.40986735454597,0.001498,3.3740592059916947,2.991085443794627,0.3829737621970679,1.1280383892046928,2011
Registered Mail,45.236486,42.809326668914785,42.80921066891479,0.000116,16.829300287206653,15.92632578941457,0.9029744977920835,1.0566969751675082,2011
Stamped Envelopes,10.649631,6.885550907369477,6.885550907369477,0,None,None,None,None,2011
Stamped Cards (note 3),1.61088,0.8198535242257456,0.8198535242257456,0,None,None,None,None,2011
Other Ancillary Services (note 2),771.7458029999999,579.4846633942232,579.4110603942232,0.07360299999999999,0.4544043890562471,0.3412009153966426,0.11320347365960448,1.33177951333456,2011
Total Domestic Ancillary Services,1661.3273919999997,1337.1115460498727,1337.0254060498728,0.08614,None,None,None,None,2011
Total International Ancillary Services (note 2),33.123923999999995,38.810880440459826,38.810880440459826,0,13.001016172808248,15.233125286948058,-2.23210911413981,0.8534700481947516,2011
Special Services:,None,None,None,None,None,None,None,None,2011
Address Management Services,15.416343000000001,10.120685999840726,0.18091240730415667,9.939773592536568,None,None,None,None,2011
Caller Service,92.162055,27.785207475707537,27.785207475707537,0,None,None,None,None,2011
Change of Address Credit Card Authentication,12.059412,1.174245,1.174245,0,None,None,None,None,2011
Confirm,3.0142249999999997,1.090449,1.090449,0,None,None,None,None,2011
Customized Postage,1.5,0.05,0.05,0,None,None,None,None,2011
Money Orders,172.696294,123.43849252244904,120.2207518551546,3.21774066729443,1.4950761635584704,1.0686387273365812,0.42643743622188923,1.399047335000407,2011
Post Office Box Service,801.8986189999999,592.7632135182827,589.6587995282827,3.1044139899999994,None,None,None,None,2011
Stamp Fulfillment Services,3.1264450000000004,5.238523,5.238523,0,None,None,None,None,2011
Other Special Services (note 2),0,0,0,0,None,None,None,None,2011
Total Special Services,1101.873393,761.66081651628,745.3988882664489,16.261928249830998,None,None,None,None,2011
Total Market Dominant Special Services,2796.3247089999995,2137.5832430066125,2121.235174756782,16.348068249830998,1.3279607499130914,1.0151276914474814,0.31283305846561005,1.3081711405385248,2011
Total Market Dominant Mail and Services,56222.58621800702,34571.798707638896,34503.38420021907,68.414507419831,None,None,None,None,2011
COMPETITIVE MAIL AND SERVICES,A,B,C,C,D,E,(D-E),(D/E),2011
Total Express Mail,799.500058,479.4322673305541,473.6450030594876,5.787264271066608,19.74464478719806,11.840174022805101,7.904470764392958,1.6675975158108596,2011
Total Priority Mail,5638.962796000001,4469.853933593938,4361.806810543938,108.04712305,7.132211149721263,5.653511685769264,1.4786994639519984,1.2615541536199715,2011
Total Ground,718.401893,516.5452080533013,516.4324340033013,0.11277405,1.8864060252447936,1.3563633424098913,0.5300426828349023,1.3907822235103757,2011
Total Competitive International,1693.406604356419,1112.4407383081045,1106.0982811381045,6.34245717,5.858447869840435,3.848559499472187,2.009888370368248,1.522244328207449,2011
Total Domestic Competitive Services,146.643367,101.73214182758907,50.667844317589065,51.06429751,None,None,None,None,2011
Total Competitive Mail and Services,8996.91471835642,6680.004289113486,6508.65037306242,171.3539160510666,None,None,None,None,2011
Total All Mail and Services,65219.50093636344,41251.80299675238,41012.03457328149,239.76842347089757,None,None,None,None,2011
Miscellaneous Items,397.2,0,0,0,None,None,None,None,2011
Transit Revenue,0.085545,0,0,0,None,None,None,None,2011
Appropriations:  Revenue Forgone,95.285,0,0,0,None,None,None,None,2011
Total Operating Income,65712.07148136344,41251.80299675238,41012.03457328149,239.76842347089757,None,None,None,None,2011
Investment Income,26.9,0,0,0,None,None,None,None,2011
Total,65738.97148136343,41251.80299675238,41012.03457328149,239.76842347089757,None,None,None,None,2011
All Other,None,29553.779712295123,None,None,None,None,None,None,2011
Total,None,70805.5827090475,None,None,None,None,None,None,2011
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,$,Cost $,$,Coverage,2012
(note 1),(note 1),(note 2),(note 2),(note 2),None,(note 2),(note 2),(note 2),2012
MARKET DOMINANT MAIL,A,B,C,F,D,E,(D-E),(D/E),2012
First-Class Mail:,None,None,None,None,None,None,None,None,2012
Single-Piece Letters,10533.810338215999,6276.049369099806,6245.9290760998065,30.120293,0.4629194838388396,0.27580765565433546,0.18711182818450411,1.6784141931832663,2012
Single-Piece Postcards,367.781344,297.0629811947903,295.5297741947903,1.533207,0.3175167396789617,0.2564634416809422,0.06105329799801951,1.23805848349323,2012
Total Single-Piece Letters and Cards,10901.591682216,6573.112350294597,6541.458850294597,31.6535,0.4558765595067221,0.2748706730955393,0.18100588641118281,1.6585129085352404,2012
Presort Letters,14474.536578942001,4949.285263852389,4937.168155154462,12.117108697927518,0.36249087372440547,0.12394667904015984,0.23854419468424565,2.9245710859825067,2012
Presort Cards,604.601985,214.78509249267,214.00391336604122,0.781179126628782,0.2336048080308003,0.08298819974867906,0.15061660828212126,2.81491596080223,2012
Total Presort Letters and Cards,15079.138563942,5164.070356345059,5151.172068520503,12.8982878245563,0.35464553458039594,0.12145352231964629,0.23319201226074965,2.9200102871205784,2012
Flats,2668.4141059999997,1791.045241841745,1790.535950994283,0.5092908474621465,1.3021886248813876,0.8740317836463478,0.42815684123503983,1.4898641551098115,2012
Parcels,648.733155,659.1469012685499,658.7585212685499,0.38838,2.210991135101201,2.2464829247615534,-0.0354917896603526,0.9842011754155132,2012
First-Class NSAs,78.55080784200001,27.52987776821,27.52987776821,0,0.3657748059205103,0.12819391645133713,0.2375808894691732,2.853293011446138,2012
Outbound First-Class Mail International,664.9578710000002,438.5476131096325,438.0770055669936,0.47060754263889526,2.523102416390995,1.6640160085260753,0.8590864078649199,1.5162729225338807,2012
Inbound International Single-Piece Letter Post,126.65517126216844,192.59926879675845,192.23906919752807,0.36019959923040806,0.6278838798348239,0.9547969888662595,-0.32691310903143567,0.6576098240322089,2012
Fees (note 2),139.693275,None,None,None,None,None,None,None,2012
Total First-Class,30307.73463226217,14846.05160942455,14799.771343610662,46.280265813887745,0.4363651738404883,0.2137507131428867,0.22261446069760157,2.0414676864670374,2012
Standard Mail:,None,None,None,None,None,None,None,None,2012
High Density and Saturation Letters,766.9111509999999,346.9733334339668,344.01425289443773,2.9590805395290283,0.1378454305980649,0.062365358087290476,0.07548007251077442,2.2102884489996475,2012
High Density and Saturation Flats and Parcels,1951.0687169999999,900.1401998488058,893.8799629139419,6.260236934863933,0.16576237359000606,0.07647571548384396,0.0892866581061621,2.167516479463661,2012
Carrier Route,2244.2926719999996,1720.6045895804066,1715.7539787893031,4.850610791103519,0.246086168671191,0.1886638924283354,0.05742227624285562,1.3043628301301355,2012
Letters,8976.934639109331,5045.519558887156,5020.467127349566,25.05243153758968,0.19452968368517043,0.1093361334660493,0.08519355021912113,1.7791893449897345,2012
Flats,2229.587991,2761.6703709617186,2758.5112674839384,3.159103477780424,0.37537461036030584,0.4649562805450886,-0.08958167018478275,0.8073331323113601,2012
Not Flat-Machinables and Parcels,284.85841800000003,337.85299385255894,337.715099852559,0.13789400000000002,0.9383966673562864,1.112974388166353,-0.17457772081006662,0.8431430923602053,2012
Standard Mail NSAs,197.10965089066667,103.884086,103.884086,0,0.20621878241723118,0.10868493567232695,0.09753384674490423,1.8973998663343554,2012
Fees (note 2),61.805215,None,None,None,None,None,None,None,2012
Total Standard Mail,16712.568454,11216.645132564612,11174.225775283747,42.419357280866585,0.20943156420856268,0.14056005465294757,0.0688715095556151,1.4899792457086303,2012
Periodicals:,None,None,None,None,None,None,None,None,2012
In County,66.495595,95.39832846283687,95.35035374740448,0.047974715432389604,0.10533347337541087,0.1511173377905548,-0.04578386441514394,0.6970310284409633,2012
Outside County (note 2),1656.7321100000001,2306.2036806769424,2305.7393453452596,0.464335331682583,0.2711480559795387,0.37744342669160297,-0.10629537071206424,0.7183806547016255,2012
Fees (note 2),8.258209999999998,None,None,None,None,None,None,None,2012
Total Periodicals,1731.4859150000002,2401.6020091397795,2401.089699092664,0.5123100471149726,0.2568455384663151,0.3562493670179758,-0.09940382855166074,0.7209712135526546,2012
Package Services:,None,None,None,None,None,None,None,None,2012
Single-Piece Parcel Post,774.045694,840.3589842409178,840.3589842409178,0,10.906541068304776,11.840915652380668,-0.9343745840758917,0.9210893302927944,2012
Inbound Surface Parcel Post (at UPU Rates),20.475203330000003,11.569930161089374,11.569930161089374,0,18.59846901830126,10.509443260553446,8.089025757747812,1.7696911774679327,2012
Bound Printed Matter Flats,185.78991699999997,138.3018178036693,138.3018178036693,0,0.8059543433753117,0.5999515611795461,0.20600278219576562,1.3433656907080131,2012
Bound Printed Matter Parcels,305.491623,281.1521109924461,281.1521109924461,0,1.2555766930232937,1.1555408108732772,0.10003588215001646,1.0865706180246602,2012
Media and Library Mail (note 2),320.64459999999997,376.7699661764506,376.7699661764506,0,3.1929722319163147,3.7518674564344945,-0.5588952245181797,0.851035456074103,2012
Fees (note 2),3.2490949999999996,None,None,None,None,None,None,None,2012
Total Package Services,1609.69613233,1648.1528093745733,1648.1528093745733,0,2.4905439323574994,2.5500446305006683,-0.05950069814316894,0.9766668012663422,2012
International Negotiated Service Agreements,127.85536166014955,152.7688540149446,152.4316011568139,0.3372528581306968,0.6720400604298497,0.8029916661367658,-0.1309516057069161,0.8369203427266798,2012
"Free Mail - blind, handicapped & servicemen",0,39.58552345701398,39.58552345701398,0,0,0.6950733629744326,None,None,2012
Total Market Dominant Mail,50489.34049525231,30304.805937975474,30215.256751975478,89.549186,0.3209136813392516,0.19261940719431297,0.1282942741449386,1.6660506125196217,2012
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,Revenue,Cost $,$,Coverage,2012
(note 1),(note 1),(note 2),(note 2),(note 2),$,(note 2),(note 2),(note 2),2012
MARKET DOMINANT SERVICES,A,B,C,C,D,E,(D-E),(D/E),2012
Ancillary Services,None,None,None,None,None,None,None,None,2012
Certified Mail,662.8064449999999,601.8689642445488,601.8128142445488,0.05615,2.919146390174104,2.6507642277562673,0.26838216241783686,1.1012470892762154,2012
COD,5.926666,3.6039163842505513,3.6037423842505514,0.000174,8.435910793791777,5.1297503732827625,3.3061604205090145,1.6445070773284531,2012
Insurance,108.509675,96.96854462481662,96.96109762481662,0.0074470000000000005,3.603159998382209,3.2199265281504106,0.38323347023179855,1.1190193213669182,2012
Registered Mail,39.477066,30.22612252186024,30.22552552186024,0.000597,16.346340433284748,12.515785461880649,3.8305549714040996,1.3060578964916607,2012
Stamped Envelopes,16.584487,6.388716479236804,6.388716479236804,0,None,None,None,None,2012
Stamped Cards (note 3),2.117462,0.7310904748817605,0.7310904748817605,0,None,None,None,None,2012
Other Ancillary Services (note 2),696.702653,547.8516639908141,547.3528589908141,0.498805,None,None,None,None,2012
Total Domestic Ancillary Services,1532.124454,1287.6390187204088,1287.0758457204088,0.563173,None,None,None,None,2012
Total International Ancillary Services (note 2),30.011741,22.64447870028133,22.64447870028133,0,None,None,None,None,2012
Special Services:,None,None,None,None,None,None,None,None,2012
Address Management Services,15.869405,7.715973406674395,0.10391294383589957,7.612060462838495,None,None,None,None,2012
Caller Service,92.49030499999999,27.04543981635782,27.04543981635782,0,None,None,None,None,2012
Change of Address Credit Card Authentication,13.543593999999999,1.386993,1.386993,0,None,None,None,None,2012
Confirm,0.8431000000000001,0.33714299999999997,0.33714299999999997,0,None,None,None,None,2012
Customized Postage,0.9,0.077252,0.077252,0,None,None,None,None,2012
Money Orders,166.260913,110.47356991862945,107.62394379866738,2.84962611996206,1.527551293413374,1.014995296081378,0.512555997331996,1.5049836184569878,2012
Post Office Box Service,481.566624,377.0733829258884,374.3627557158884,2.71062721,None,None,None,None,2012
Stamp Fulfillment Services,3.298493,5.566808,5.566808,0,None,None,None,None,2012
Other Special Services (note 2),0,0,0,0,None,None,None,None,2012
Total Special Services,774.772434,529.6765620675501,516.5042482747496,13.172313792800555,None,None,None,None,2012
Total Market Dominant Special Services,2336.908629,1839.9600594882402,1826.2245726954397,13.735486792800556,None,None,None,None,2012
Total Market Dominant Mail and Services,52826.24912425231,32144.765997463714,32041.481324670916,103.28467279280056,None,None,None,None,2012
COMPETITIVE MAIL AND SERVICES,A,B,C,C,D,E,(D-E),(D/E),2012
Total Express Mail,801.56087,467.22654446643276,460.5983391633061,6.628205303126639,20.12806074270294,11.732564075418944,8.395496667283995,1.7155721983120054,2012
Total First-Class Package Service,875.653893,766.7186211190805,766.7186211190805,0,2.128350934679636,1.8635745320612385,0.26477640261839763,1.1420798567822974,2012
Total Priority Mail,5939.725958999999,4545.341193131538,4494.756904999011,50.5842881325267,7.206638815184497,5.514838983614253,1.6917998315702434,1.306772298628652,2012
Total Ground,1456.216417,1105.7665682416498,1105.7571449016498,0.009423339999999999,1.4795908196568124,1.1235157384259615,0.35607508123085085,1.3169293219957112,2012
Total Competitive International,1847.237344749169,1225.131286352641,1217.3535995690409,7.777686783599993,6.757729578475287,4.481885316380344,2.2758442620949424,1.5077872594769912,2012
Total Domestic Competitive Services,504.722714,273.11806997166485,238.42623981656848,34.691830155096376,None,None,None,None,2012
Total Competitive Mail and Services,11425.117197749169,8383.302283283007,8283.610849568657,99.6914337143497,None,None,None,None,2012
TOTAL ALL MAIL AND SERVICES,64251.36632200148,40528.068280746724,40325.09217423957,202.97610650715026,None,None,None,None,2012
RPW items:,None,None,None,None,None,None,None,None,2012
Miscellaneous Items,926.2703877299999,None,None,None,None,None,None,None,2012
Appropriations:  Revenue Forgone,46.204,None,None,None,None,None,None,None,2012
Total Operating Income,65223.84070973148,40528.068280746724,40325.09217423957,202.97610650715026,None,None,None,None,2012
Investment Income,24.27278627,None,None,None,None,None,None,None,2012
Total,65248.113496001475,40528.068280746724,40325.09217423957,202.97610650715026,None,None,None,None,2012
All Other,None,40625.247047906494,None,None,None,None,None,None,2012
Total,None,81153.31532865322,None,None,None,None,None,None,2012
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2013",None,None,None,None,None,None,None,None,2013
Mail Classes and Products,Revenue,Cost,Variable Cost,Specific Cost,$,Cost $,$,Coverage,2013
(note 1),(note 1),(note 2),(note 2),(note 2),,(note 2),(note 2),(note 2),2013
MARKET DOMINANT PRODUCTS,None,None,None,None,None,None,None,None,2013
First-Class Mail:,None,None,None,None,None,None,None,None,2013
Single-Piece Letters,10126.157722,5905.238271057503,5876.844851057504,28.39342,0.4721090777295209,0.2753183063567167,0.19679077137280415,1.714775468354915,2013
Single-Piece Postcards,350.788341,291.4361074638803,290.0472584638803,1.388849,0.33435144253227983,0.27778027815508527,0.05657116437719456,1.203654358592048,2013
Total Single-Piece Letters and Cards,10476.946063,6196.674378521383,6166.892109521384,29.782269,0.46568493606126254,0.2754331170936557,0.19025181896760684,1.6907369054786372,2013
Presort Letters,14317.473787,4604.618460499758,4595.749932600309,8.8685278994487,0.3697226720929397,0.11890588147821336,0.25081679061472634,3.1093724506864064,2013
Presort Cards,586.9360849999999,195.38759745863118,194.8365843817359,0.5510130768952864,0.24260674260600457,0.08076236881065468,0.16184437379534988,3.0039577364897494,2013
Total Presort Letters and Cards,14904.409872,4800.006057958389,4790.5865169820445,9.419540976343987,0.36224821942901897,0.11666303212786007,0.2455851873011589,3.1050814711553447,2013
Flats,2513.3926969999998,1685.6622646611336,1683.8400919872695,1.8221726738640749,1.3267262944331593,0.8897982606255951,0.4369280338075642,1.4910416811787999,2013
Parcels,578.7372120000001,583.5028690599472,583.4687510599472,0.034118,2.3412956161417275,2.360575198914589,-0.01927958277286157,0.9918326758741994,2013
First-Class NSAs,77.48232100000001,22.835850999999998,22.835850999999998,0,0.3628655707255796,0.10694496498264806,0.2559206057429316,3.393012198231632,2013
Outbound Single-Piece First-Class Mail Int'l,457.64123499999994,321.5316660388897,321.04766357656297,0.484002462326729,1.9770659132590673,1.3890559860911287,0.5880099271679387,1.4233162183927714,2013
Inbound Single-Piece First-Class Mail Int'l,149.50037544,227.96446031748366,227.49241436054015,0.4720459569435097,0.6622189001999778,1.0097792313351899,-0.3475603311352121,0.6558056252794512,2013
Fees (note 2),136.154168,0,0,0,None,None,None,None,2013
Total First-Class,29294.263943439997,13838.177547557225,13796.163398487746,42.0141490694783,0.44081687205953346,0.20823537854702326,0.2325814935125102,2.116916323899251,2013
Standard Mail:,None,None,None,None,None,None,None,None,2013
High Density and Saturation Letters,805.189444,341.41095649228765,339.7185212195485,1.6924352727391458,0.14097355882407106,0.05977465044642075,0.08119890837765031,2.358417117812061,2013
High Density and Saturation Flats and Parcels,1929.849516,842.7011378962478,839.3415942920809,3.359543604166845,0.17021384184685753,0.07432672704312496,0.09588711480373258,2.290075839719111,2013
Carrier Route,2372.7352889999997,1778.6613116236158,1775.844072103169,2.8172395204468557,0.24956124825336387,0.1870773108178588,0.062483937435505066,1.334000618045768,2013
Letters,9261.274934000001,4902.887443308143,4888.726395745325,14.161047562818451,0.19808403008442527,0.10486501164708874,0.09321901843733653,1.8889430037070374,2013
Flats,2134.1291069999997,2514.2458211699977,2512.5959409656652,1.6498802043326624,0.38328334524432806,0.45155119525981396,-0.06826785001548591,0.8488148171632989,2013
Parcels,70.314632,109.64469673193024,109.62982973193024,0.014867000000000002,0.9770503477241936,1.5235575586607095,-0.5465072109365159,0.6412953302421173,2013
Standard Mail NSAs,217.04393900000002,93.118798,93.118798,0,None,None,None,None,2013
Every Door Direct Mail Retail,138.41792800000002,38.45807512704497,38.25670612704497,0.201369,0.14199999997743068,0.03945331898894205,0.10254668098848863,3.599190223190864,2013
Fees (note 2),56.249764000000006,0,0,0,None,None,None,None,2013
Total Standard Mail,16985.204553,10621.128240349264,10597.231858184765,23.896382164503958,0.21530340404053763,0.1346327656969185,0.08067063834361912,1.5991902337148938,2013
Periodicals:,None,None,None,None,None,None,None,None,2013
In County,65.380442,86.970060366375,86.91592834730098,0.05413201907401937,0.10837962773696205,0.14416823255445166,-0.035788604817489605,0.7517580386235753,2013
Outside County (note 2),1586.133105,2092.0522985848665,2091.535818418652,0.5164801662139594,0.27557512304225423,0.36347363772686364,-0.08789851468460941,0.758170866986888,2013
Fees (note 2),6.650332000000001,0,0,0,None,None,None,None,2013
Total Periodicals,1658.1638789999997,2179.0223589512416,2178.451746765953,0.5706121852879787,0.26075967887990553,0.3426688868261495,-0.08190920794624396,0.7609668951713146,2013
Package Services:,None,None,None,None,None,None,None,None,2013
Parcel Post,317.64241100000004,330.64426006378153,330.58853931392304,0.0557207498584612,11.077239058528313,11.5306564401336,-0.453417381605286,0.9606772273582689,2013
Alaska Bypass,21.481384,10.303520161208,10.303520161208,0,24.436571956403775,11.720972532478184,12.71559942392559,2.084858734093212,2013
Inbound Surface Parcel Post (at UPU Rates),16.520255860000002,10.756145909557198,10.756145909557198,0,19.929518948432577,12.975877343138539,6.953641605294038,1.5358898994965475,2013
Bound Printed Matter Flats,184.76814199999998,130.41799661986516,129.97182407754852,0.446172542316635,0.8047004578145773,0.5679952206656139,0.2367052371489634,1.4167380790133706,2013
Bound Printed Matter Parcels,274.587548,263.1300907789431,262.70961588579,0.420474893153062,1.268968281771611,1.2160192317903775,0.05294904998123351,1.04354293797087,2013
Media and Library Mail (note 2),316.43744799999996,372.40192408877783,372.2182485039429,0.183675584834967,3.347699279770185,3.939766487615691,-0.5920672078455058,0.8497202284179489,2013
Fees (note 2),2.8937440000000003,0,0,0,None,None,None,None,2013
Total Package Services,1134.3309328599998,1117.6539376221328,1116.5478938519698,1.1060437701631252,1.9869009274293372,1.9576894016347375,0.029211525794599735,1.01492143021779,2013
International Negotiated Service Agreements,133.15400624000003,148.0114750612536,147.67253572298435,0.33893933826927125,0.8208305234220605,0.912419685878766,-0.09158916245670545,0.8996194800767648,2013
"Free Mail - blind, handicapped & servicemen",0,38.46243499152081,38.46243499152081,0,0,0.7047330785678863,-0.7047330785678863,None,2013
Total Market Dominant Mail,49205.117314539995,27942.455994532636,27874.52986800494,67.92612652770264,0.32134639845981017,0.1824852390975087,0.13886115936230148,1.7609446114603426,2013
MARKET DOMINANT SERVICES,None,None,None,None,None,None,None,None,2013
Ancillary Services,None,None,None,None,None,None,None,None,2013
Certified Mail,714.9894889999999,535.194078395355,534.9181703953549,0.27590800000000004,3.0562329787227402,2.2876948788389915,0.7685380998837488,1.3359443197572671,2013
COD,4.431648,3.7009091975523307,3.7003351975523304,0.000574,9.110893645715977,7.608589421215617,1.5023042245003602,1.1974484548096878,2013
Insurance,108.436587,75.78037986890027,75.74726386890028,0.033116,3.861756827020328,2.698769920828654,1.1629869061916738,1.4309322173839036,2013
Registered Mail,35.464857,27.98215417171588,27.97951417171588,0.00264,15.84325500796745,12.500498851997481,3.342756155969969,1.2674098206437436,2013
Stamped Envelopes,10.909600000000001,6.476229881955125,6.476229881955125,0,None,None,None,None,2013
Stamped Cards (note 3),1.385888,0.45144672839692523,0.45144672839692523,0,None,None,None,None,2013
Other Ancillary Services (note 2),514.79031,242.62634501880507,239.62381201880507,3.002533,None,None,None,None,2013
Total Domestic Ancillary Services,1390.408379,892.2115432626805,888.8967722626805,3.3147710000000004,None,None,None,None,2013
Total International Ancillary Services (note 2),36.08264400000001,18.37456744906264,18.37456744906264,0,1.5070403028561508,0.7674385971628387,0.7396017056933121,1.9637275326359172,2013
Special Services:,None,None,None,None,None,None,None,None,2013
Address Management Services,15.341877,8.427818062599814,0.11305313732874492,8.314764925271069,None,None,None,None,2013
Caller Service,93.59292500000001,22.755288870275507,22.755288870275507,0,None,None,None,None,2013
Credit Card Authentication,14.66174,1.863749,1.863749,0,None,None,None,None,2013
Customized Postage,0.315,0.066126,0.066126,0,None,None,None,None,2013
Money Orders,156.12802,103.26592705096357,101.08870782226401,2.17721922869955,1.5230971297395914,1.0074042897054651,0.5156928400341263,1.5119025651408526,2013
Post Office Box Service,358.500079,293.93555257923214,294.0035525792321,0.068,None,None,None,None,2013
Stamp Fulfillment Services,4.198365,5.0591040000000005,5.0591040000000005,0,None,None,None,None,2013
Other Special Services (note 2),0,0,0,0,None,None,None,None,2013
Total Special Services,642.738006,435.373565563071,424.9495814091004,10.55998415397062,None,None,None,None,2013
Total Market Dominant Special Services,2069.229029,1345.9596762748142,1332.2209211208435,13.87475515397062,None,None,None,None,2013
Total Market Dominant Mail and Services,51274.34634354,29288.41567080745,29206.750789125785,81.80088168167326,None,None,None,None,2013
COMPETITIVE MAIL AND SERVICES,None,None,None,None,None,None,None,None,2013
